filed,day_index,nature_of_suit,plaintiff,defendant,presiding_judge,judge_index,court,court_index,office,county,jury_demanded_by,cause_of_action,link,case_number,counter_claimant,counter_defendant,pacer_id,pacer_party_aliases,pacer_associated_cases,pacer_attorneys,pacer_case_file_location,pacer_case_summary,pacer_docket_report,pacer_history_documents,pacer_parties,pacer_related_transactions,pacer_check_status
16-Jan-13,1,Patent,"Unified Messaging Solutions, LLC",BB&T Corp and Branch Banking & Trust Co.,Joan H. Lefkow,42,Illinois Northern District Court,45,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00327/278866,1:2013cv00327,,,278866,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278866,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278866
16-Jan-13,2,Patent,"Unified Messaging Solutions, LLC","Cox Enterprises, Inc. and Cox Communications Incorporated",Joan H. Lefkow,43,Illinois Northern District Court,46,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00333/278869,1:2013cv00333,,,278869,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278869,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278869
16-Jan-13,3,Patent,"Unified Messaging Solutions, LLC","Fidelity National Information Services, Inc. and Metavante Corporation",Joan H. Lefkow,44,Illinois Northern District Court,47,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00337/278870,1:2013cv00337,,,278870,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278870,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278870
16-Jan-13,4,Patent,"Unified Messaging Solutions, LLC",Fiserv Inc,Joan H. Lefkow,45,Illinois Northern District Court,48,Chicago Office,"XX US, Outside the State of IL",Both,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00338/278874,1:2013cv00338,,,278874,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278874,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278874
16-Jan-13,5,Patent,"Unified Messaging Solutions, LLC","FriendFinder Networks Inc. and Various, Inc.",Joan H. Lefkow,46,Illinois Northern District Court,49,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00339/278879,1:2013cv00339,,,278879,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278879,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278879
16-Jan-13,6,Patent,"Unified Messaging Solutions, LLC",Government Employees Insurance Company and GEICO Advantage Insurance Company,Joan H. Lefkow,47,Illinois Northern District Court,50,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00324/278860,1:2013cv00324,,,278860,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278860,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278860
16-Jan-13,7,Patent,"Unified Messaging Solutions, LLC","SunTrust Banks, Inc. and SunTrust Bank",Joan H. Lefkow,48,Illinois Northern District Court,51,Chicago Office,Cook,Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00340/278883,1:2013cv00340,,,278883,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278883,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278883
16-Jan-13,8,Patent,"Unified Messaging Solutions, LLC","TD Ameritrade, Inc. and TD Ameritrade Holding Corporation",Joan H. Lefkow,49,Illinois Northern District Court,52,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00341/278887,1:2013cv00341,,,278887,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278887,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278887
16-Jan-13,9,Patent,"Unified Messaging Solutions, LLC",U.S. Bank National Association and U.S. Bancorp,Joan H. Lefkow,50,Illinois Northern District Court,53,Chicago Office,"XX US, Outside the State of IL",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00344/278892,1:2013cv00344,,,278892,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278892,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278892
16-Jan-13,10,Patent,"Unified Messaging Solutions, LLC","United Online, Inc., Juno Online Services, Inc., Memory Lane, Inc. and NetZero, Inc.",Joan H. Lefkow,51,Illinois Northern District Court,54,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00343/278891,1:2013cv00343,,,278891,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278891,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278891
16-Jan-13,11,Patent,"Unified Messaging Solutions, LLC",Wells Fargo Bank National Association and Wells Fargo & Company,Joan H. Lefkow,52,Illinois Northern District Court,55,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00346/278894,1:2013cv00346,,,278894,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278894,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278894
15-Jan-13,1,Patent,Unified Messaging Solutions LLC,"CSC Holdings, LLC",Leonard P. Stark,2,Delaware District Court,2,Wilmington Office,"XX US, Outside State",Plaintiff,35:271 Patent Infringement,http://dockets.justia.com/docket/delaware/dedce/1:2013cv00088/50786,1:2013cv00088,,,50786,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?50786,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?50786
15-Jan-13,2,Patent,"Unified Messaging Solutions, LLC","BBVA Compass Bancshares, Inc. and Compass Bank",Lee  Yeakel,1,Texas Western District Court,1,Austin Office,,Both,35:271 Patent Infringement,http://dockets.justia.com/docket/texas/txwdce/1:2013cv00041/601034,1:2013cv00041,,,601034,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?601034,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?601034
15-Jan-13,3,Patent,"Unified Messaging Solutions, LLC",Capital One Financial Corp. and ING Direct,Lee  Yeakel,2,Texas Western District Court,2,Austin Office,,Both,35:271 Patent Infringement,http://dockets.justia.com/docket/texas/txwdce/1:2013cv00043/601042,1:2013cv00043,,,601042,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?601042,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?601042
14-Jan-13,1,Patent,"Unified Messaging Solutions, LLC","Ameriprise Financial, Inc.",Joan H. Lefkow,29,Illinois Northern District Court,32,Chicago Office,"XX US, Outside the State of IL",Plaintiff,15:1126 Patent Infringement,http://dockets.justia.com/docket/illinois/ilndce/1:2013cv00266/278792,1:2013cv00266,,,278792,https://ecf.txed.uscourts.gov/cgi-bin/qryAlias.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/qryAscCases.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/qryAttorneys.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/QryRMSLocation.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/qrySummary.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/DktRpt.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/HistDocQry.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/qryParties.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/RelTransactQry.pl?278792,https://ecf.txed.uscourts.gov/cgi-bin/StatusQry.pl?278792
